"TABLE_NAME","KEYS"
"ALY_ACCNOSAMELIST_DIFF","ACCOUNT"
"ALY_ACCNOSAMELIST_DIFF","CNNAME"
"ALY_ALLOWANCERATE_DIFF","AGENTGRADE"
"ALY_ALLOWANCERATE_DIFF","DATEID"
"ALY_ALLOWANCERATE_DIFF","MANAGECOM"
"ALY_ASSETDETAIL_DIFF","ASSETNUMBER"
"ALY_AVEPARTCOUNT_DIFF","AGENTGRADE"
"ALY_AVEPARTCOUNT_DIFF","DATEID"
"ALY_AVEPARTCOUNT_DIFF","EDUCATION"
"ALY_AVEPARTCOUNT_DIFF","EMPLYAGE"
"ALY_AVEPARTCOUNT_DIFF","HLFLAG"
"ALY_AVEPARTCOUNT_DIFF","INITGRADE"
"ALY_AVEPARTCOUNT_DIFF","MANAGECOM"
"ALY_AVETEAMCOUNT_DIFF","AGENTGRADE"
"ALY_AVETEAMCOUNT_DIFF","DATEID"
"ALY_AVETEAMCOUNT_DIFF","EDUCATION"
"ALY_AVETEAMCOUNT_DIFF","EMPLYAGE"
"ALY_AVETEAMCOUNT_DIFF","HLFLAG"
"ALY_AVETEAMCOUNT_DIFF","INITGRADE"
"ALY_AVETEAMCOUNT_DIFF","MANAGECOM"
"ALY_BASLAWRATE_DIFF","AGENTGRADE"
"ALY_BASLAWRATE_DIFF","DATEID"
"ALY_BASLAWRATE_DIFF","MANAGECOM"
"ALY_BUSSSYSGRADE_DIFF","USERCODE"
"ALY_CLAIMTIMEEFF_DIFF","CLAIMNO"
"ALY_CLAIMTIMEEFF_DIFF","CONTNO"
"ALY_CLAIMTIMEEFF_DIFF","GETDUTYNAME"
"ALY_CLAIMTIMEEFF_DIFF","RISKCODE"
"ALY_COMBINEDRATIO_DIFF","DATEID"
"ALY_COMBINEDRATIO_DIFF","MANAGECOM"
"ALY_COMBINEDRATIO_DIFF","RISKCODE"
"ALY_COMBINEDRATIO_DIFF","SALECHNL"
"ALY_CONTINUATIONRATEDETAIL_D","CONTNO"
"ALY_CONTINUATIONRATEDETAIL_D","DATEID"
